id,value
CATEGORIES.PAPERS,
CATEGORIES.PAPERS.Academic_courses,
CATEGORIES.PAPERS.Academic_courses.10_1_1_167_4896,1
CATEGORIES.PAPERS.Academic_courses.10_1002/cae_21655,1
CATEGORIES.PAPERS.Academic_courses.10_1109/FIE_2006_322313,1
CATEGORIES.PAPERS.Academic_courses.10_1109/FIE_2007_4418095,1
CATEGORIES.PAPERS.Academic_courses.10_1109/SII_2017_8279283,1
CATEGORIES.PAPERS.Academic_courses.10_1109/TLT_2010_28,1
CATEGORIES.PAPERS.Academic_courses.10_3217/jucs-011-09-1505,1
CATEGORIES.PAPERS.Academic_courses.isbn=1-58603-573-8,1
CATEGORIES.PAPERS.Academic_courses.isbn=1505-1517,1
