id,value
STRATEGIES,
STRATEGIES.10_1_1_167_4896,
STRATEGIES.10_1_1_167_4896.E-Learning Systems And Manage Their Interactions,1
STRATEGIES.10_1002/cae_21655,
STRATEGIES.10_1002/cae_21655.E-Learning Systems And Manage Their Interactions,1
STRATEGIES.10_1002/cae_21655.Rule-Based Recommendation,1
STRATEGIES.10_1002/cae_21832,
STRATEGIES.10_1002/cae_21832.Rule-Based Recommendation,1
STRATEGIES.10_1007/378-3-313-31743-5_25,
STRATEGIES.10_1007/378-3-313-31743-5_25.Adaptive Educational System (Aes),1
STRATEGIES.10_1007/978-3-319-91743-6_26,
STRATEGIES.10_1007/978-3-319-91743-6_26.Valcam Algorithm,1
STRATEGIES.10_1007/978-3-642-34010-9_9,
STRATEGIES.10_1007/978-3-642-34010-9_9.Jigsaw Learning,1
STRATEGIES.10_1007/978-3-642-41347-6,
STRATEGIES.10_1007/978-3-642-41347-6.Rule-Based Recommendation,1
STRATEGIES.10_1007/s11257-011-9106-8,
STRATEGIES.10_1007/s11257-011-9106-8.Coalition Formation Algorithm,1
STRATEGIES.10_1007/s12257-012-3105-8,
STRATEGIES.10_1007/s12257-012-3105-8.Predict Student Behaviors,1
STRATEGIES.10_1007/s40533-015-0107-y,
STRATEGIES.10_1007/s40533-015-0107-y.Jigsaw Learning,1
STRATEGIES.10_1007/s40593-016-0107-y,
STRATEGIES.10_1007/s40593-016-0107-y.Adaptive Educational System (Aes),1
STRATEGIES.10_1007/s40593-016-0107-y.Team Syntegrity Model (Tsm),1
STRATEGIES.10_1015/J_CHB_2013_04_030,
STRATEGIES.10_1015/J_CHB_2013_04_030.Rule-Based Recommendation,1
STRATEGIES.10_1016/J_CHB_2013_04_030,
STRATEGIES.10_1016/J_CHB_2013_04_030.Adaptive Educational System (Aes),1
STRATEGIES.10_1016/J_CHB_2013_04_030.Jigsaw Learning,1
STRATEGIES.10_1016/j_procs_2014_12_021,
STRATEGIES.10_1016/j_procs_2014_12_021.Adaptive Educational System (Aes),1
STRATEGIES.10_1075/csed_12_3_137_8518,
STRATEGIES.10_1075/csed_12_3_137_8518.Rule-Based Recommendation,1
STRATEGIES.10_1075/csed_12_3_247_3837,
STRATEGIES.10_1075/csed_12_3_247_3837.Coalition Formation Algorithm,1
STRATEGIES.10_1076/csed_11_3_247_3837.Jigsaw Learning,1
STRATEGIES.10_1076/csed_12_3_197_8618,
STRATEGIES.10_1076/csed_12_3_197_8618.Coalition Formation Algorithm,1
STRATEGIES.10_1109/FIE_2006_322313,
STRATEGIES.10_1109/FIE_2006_322313.E-Learning Systems And Manage Their Interactions,1
STRATEGIES.10_1109/FIE_2007_4418095,
STRATEGIES.10_1109/FIE_2007_4418095.E-Learning Systems And Manage Their Interactions,1
STRATEGIES.10_1109/FIE_2007_4418095.Jigsaw Learning,1
STRATEGIES.10_1109/ICALT_2003_1215118,
STRATEGIES.10_1109/ICALT_2003_1215118.Valcam Algorithm,1
STRATEGIES.10_1109/ICETA_2017_8102463,
STRATEGIES.10_1109/ICETA_2017_8102463.Team Syntegrity Model (Tsm),1
STRATEGIES.10_1109/SII_2017_8279283,
STRATEGIES.10_1109/SII_2017_8279283.E-Learning Systems And Manage Their Interactions,1
STRATEGIES.10_1109/TLT_2009_50,
STRATEGIES.10_1109/TLT_2009_50.Adaptive Educational System (Aes),1
STRATEGIES.10_1109/TLT_2010_28,
STRATEGIES.10_1109/TLT_2010_28.E-Learning Systems And Manage Their Interactions,1
STRATEGIES.10_1109/TLT_2011_2,
STRATEGIES.10_1109/TLT_2011_2.Adaptive Educational System (Aes),1
STRATEGIES.10_1145/1160633_1160933,
STRATEGIES.10_1145/1160633_1160933.Jigsaw Learning,1
STRATEGIES.10_1145/2325296_2325332,
STRATEGIES.10_1145/2325296_2325332.Predict Student Behaviors,1
STRATEGIES.10_1145/2325296_2325338,
STRATEGIES.10_1145/2325296_2325338.Jigsaw Learning,1
STRATEGIES.10_1145/2408776_2408787,
STRATEGIES.10_1145/2408776_2408787.Adaptive Educational System (Aes),1
STRATEGIES.10_1145/2526968_2526987,
STRATEGIES.10_1145/2526968_2526987.Valcam Algorithm,1
STRATEGIES.10_1145/2590651_2590680,
STRATEGIES.10_1145/2590651_2590680.Predict Student Behaviors,1
STRATEGIES.10_1145/2659532_2659620,
STRATEGIES.10_1145/2659532_2659620.Rule-Based Recommendation,1
STRATEGIES.10_1145/2676723_2691877,
STRATEGIES.10_1145/2676723_2691877.Coalition Formation Algorithm,1
STRATEGIES.10_1145/2676723_2691877.Predict Student Behaviors,1
STRATEGIES.10_1145/2787622_2787719,
STRATEGIES.10_1145/2787622_2787719.Jigsaw Learning,1
STRATEGIES.10_1145/2787622_2787731,
STRATEGIES.10_1145/2787622_2787731.Coalition Formation Algorithm,1
STRATEGIES.10_1145/2839509_2844615,
STRATEGIES.10_1145/2839509_2844615.Adaptive Educational System (Aes),1
STRATEGIES.10_1145/3159450_3159518,
STRATEGIES.10_1145/3159450_3159518.Coalition Formation Algorithm,1
STRATEGIES.10_1203/FIE_2005_322313,
STRATEGIES.10_1203/FIE_2005_322313.Adaptive Educational System (Aes),1
STRATEGIES.10_1203/FIE_2005_322313.Jigsaw Learning,1
STRATEGIES.10_1203/FIE_2007_4418035,
STRATEGIES.10_1203/FIE_2007_4418035.Adaptive Educational System (Aes),1
STRATEGIES.10_1203/ICALT_2003_1215128,
STRATEGIES.10_1203/ICALT_2003_1215128.Adaptive Educational System (Aes),1
STRATEGIES.10_1203/SII_2015_8273283,
STRATEGIES.10_1203/SII_2015_8273283.Coalition Formation Algorithm,1
STRATEGIES.10_1203/TLT_2003_50,
STRATEGIES.10_1203/TLT_2003_50.Adaptive Educational System (Aes),1
STRATEGIES.10_1203/TLT_2010_28,
STRATEGIES.10_1203/TLT_2010_28.Coalition Formation Algorithm,1
STRATEGIES.10_1203/TLT_2012_2,
STRATEGIES.10_1203/TLT_2012_2.Jigsaw Learning,1
STRATEGIES.10_1245/2325235_2325332,
STRATEGIES.10_1245/2325235_2325332.Jigsaw Learning,1
STRATEGIES.10_1245/2325235_2325338,
STRATEGIES.10_1245/2325235_2325338.Coalition Formation Algorithm,1
STRATEGIES.10_1245/2408775_2408787,
STRATEGIES.10_1245/2408775_2408787.Coalition Formation Algorithm,1
STRATEGIES.10_1245/2408775_2408787.Predict Student Behaviors,1
STRATEGIES.10_1245/2553532_2553520,
STRATEGIES.10_1245/2553532_2553520.Rule-Based Recommendation,1
STRATEGIES.10_1245/2575723_2531877,
STRATEGIES.10_1245/2575723_2531877.Team Syntegrity Model (Tsm),1
STRATEGIES.10_1245/2787522_2787713,
STRATEGIES.10_1245/2787522_2787713.Adaptive Educational System (Aes),1
STRATEGIES.10_1245/2787522_2787731,
STRATEGIES.10_1245/2787522_2787731.Predict Student Behaviors,1
STRATEGIES.10_1245/3153450_3153518,
STRATEGIES.10_1245/3153450_3153518.Team Syntegrity Model (Tsm),1
STRATEGIES.10_3217/jucs-011-09-1505,
STRATEGIES.10_3217/jucs-011-09-1505.Adaptive Educational System (Aes),1
STRATEGIES.10_3217/jucs-011-09-1505.E-Learning Systems And Manage Their Interactions,1
STRATEGIES.10_3217/jucs-011-09-1505.Valcam Algorithm,1
STRATEGIES.10_4018/jec_2012100101,
STRATEGIES.10_4018/jec_2012100101.Adaptive Educational System (Aes),1
STRATEGIES.isbn=1-58603-573-8,
STRATEGIES.isbn=1-58603-573-8.E-Learning Systems And Manage Their Interactions,1
STRATEGIES.isbn=1505-1517,
STRATEGIES.isbn=1505-1517.E-Learning Systems And Manage Their Interactions,1
STRATEGIES.isbn=978-1-57735-281-5,
STRATEGIES.isbn=978-1-57735-281-5.Rule-Based Recommendation,1
STRATEGIES.issn=2307-4108,
STRATEGIES.issn=2307-4108.Coalition Formation Algorithm,1
STRATEGIES.issn=2307-4108.Team Syntegrity Model (Tsm),1
